id,title,release date,genre,vote average,popularity,poster,original language,adult
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,28 12 14,7.9,5098.495,/xeItgLK9qcafxbd8kYgv7XnMEog.jpg,en,0
580489,Venom: Let There Be Carnage,2021-09-30,878 28 12,6.8,4813.544,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,en,0
524434,Eternals,2021-11-03,28 12 878,7.2,2460.836,/6AdXwFTRTAzggD2QUTt5B7JFGKL.jpg,en,0
796499,Army of Thieves,2021-10-27,28 80 53,6.9,2444.81,/5YCg0PFnGxDKb24Lmhxz8p4Q8j1.jpg,en,0
370172,No Time to Die,2021-09-29,12 28 53,7.5,2321.302,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,en,0
438631,Dune,2021-09-15,878 12,8.0,2154.202,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,en,0
522402,Finch,2021-11-04,878 18 12,8.1,2112.435,/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg,en,0
744275,After We Fell,2021-09-01,10749 18,7.3,1623.192,/suN9WacmM6TIUOuYonHc1iL7uRw.jpg,en,0
550988,Free Guy,2021-08-11,35 28 12 878,7.8,1610.888,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,en,0
763164,Apex,2021-11-12,28 53 878,5.7,1541.991,/cobRV6hAj8h7dRU4WZ3dkGaRQv2.jpg,en,0
843241,The Seven Deadly Sins: Cursed by Light,2021-07-02,16 28,8.2,1095.539,/k0ThmZQl5nHe4JefC2bXjqtgYp0.jpg,ja,0
335983,Venom,2018-09-28,878 28,6.8,1052.514,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,en,0
574060,Gunpowder Milkshake,2021-07-14,28 53 80,6.5,1041.393,/5AaKulwpUtkscAokKWtLenGTfVS.jpg,en,0
639721,The Addams Family 2,2021-10-01,16 35 10751,7.4,1033.256,/ld7YB9vBRp1GM1DT3KmFWSmtBPB.jpg,en,0
618162,The Harder They Fall,2021-10-22,37,6.6,1015.127,/su9WzL7lwUZPhjH6eZByAYFx2US.jpg,en,0
871964,Nobody Sleeps in the Woods Tonight 2,2021-10-27,27 53 35,4.0,948.201,/6QvepemlDGIiiYsVs0Y1ieFuG7N.jpg,pl,0
568620,Snake Eyes: G.I. Joe Origins,2021-07-22,28 12,6.9,914.979,/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg,en,0
508943,Luca,2021-06-17,16 35 10751 14,8.0,899.084,/8tABCBpzu3mZbzMB3sRzMEHEvJi.jpg,en,0
610253,Halloween Kills,2021-10-14,27 53,7.0,898.281,/qmJGd5IfURq8iPQ9KF3les47vFS.jpg,en,0
630004,The Vault,2021-03-03,80 28 53,7.1,884.143,/kWhXubAiIcHW0xn5GThflqaKZqh.jpg,en,0
337404,Cruella,2021-05-26,35 80,8.3,570.04,/rTh4K5uw9HypmpGslcKd4QfHl93.jpg,en,0
760195,Separation,2021-04-30,27,5.9,568.038,/jNJ8vKNKT75EW4cvpiWCMvg5TFS.jpg,en,0
634649,Spider-Man: No Way Home,2021-12-15,28 12 878,0.0,556.607,/5pVJ9SuuO72IgN6i9kMwQwnhGHG.jpg,en,0
864388,Mickey's Tale of Two Witches,2021-10-07,16,7.3,556.017,/8j9iIwxFal1Nq8NY4MSLC6Y6bLE.jpg,tr,0
568124,Encanto,2021-11-24,12 16 35 10751 14 10402,0.0,533.249,/gKV303VdLsR2PAEJMhSeZ2cxfQ0.jpg,en,0
772436,Matando Cabos 2: La Máscara del Máscara,2021-10-01,28 35 12,7.9,528.835,/jxdKa1467pktAILLbfw6kZyQlbW.jpg,es,0
512195,Red Notice,2021-11-04,28 35 80 53,7.1,518.144,/wdE6ewaKZHr62bLqCn7A2DiGShm.jpg,en,0
859041,Crazy Fist,2021-05-06,28,7.3,517.854,/jVAEVDNdUPRKJ7hJ4zt6lGcLATD.jpg,zh,0
812204,Rock Dog 2: Rock Around the Park,2021-06-24,16 35 10402 10751,7.5,517.168,/kETYRGA15L0wkVPugSl8lKmSgFn.jpg,en,0
